연번,시도,시군구,시설유형,법인현황,시설명,시설 주소,전화번호,팩스번호,종사자정원,종사자 현원,엑스(X)좌표,와이(Y)좌표
162,충북,보은군,복지관,재단법인청주교구천주교회유지재단,보은군노인장애인복지관,충북 보은군 보은읍 뱃들4길 11-10,043-544-5446,043-544-5449,20,20,127.1793452,36.77763545
163,충북,옥천군,복지관,사회복지법인 전석복지재단,옥천군장애인복지관,충청북도 옥천군 옥천읍 삼양로8길 9,043-733-2500,043-731-6513,25,25,127.1312024,36.83869059
164,충북,영동군,복지관,사)한국지체장애인협회,영동군장애인복지관,충북 영동군 영동읍 반곡동길 17,043-743-1500,043-743-0142,20,23,127.1641118,36.78053047
165,충북,증평군,복지관,증평복지재단,증평군장애인복지관 ,충북 증평군 증평읍 보건복지로 56-1,043-835-4288,043-838-1292,20,20,127.1439061,36.38274137
166,충북,진천군,복지관,한국지체장애인협회,진천군 장애인복지관,충북 진천군 진천읍 문화6안길 14-14,043-534-4455,043-534-4456,22,24,127.1292677,36.47413682
167,충북,괴산군,복지관,한국지체장애인협회,괴산군장애인복지관,충청북도 괴산군 괴산읍 동진천길 61,043-832-0862,043-832-0863,21,21,126.5869479,36.37840411
168,충북,음성군,복지관,대한성공회유지재단,음성군장애인복지관,충청북도 음성군 금왕읍 무극로309번길 43-6,043-883-2900,043-883-2913,29,29,126.9838857,36.78845667
169,충북,단양군,복지관,대한불교 천태종복지재단,단양장애인복지관,충북 단양군 단양읍 별곡5길5,043-420-6300,043-420-6301,19,19,126.4448608,36.77299495
170,충남,공주시,복지관,(사)한국지체장애인협회 충남협회,남부장애인종합복지관,충남 공주시 영규대사로 747,041-856-7071,041-856-0270,34,26,127.1486368,36.2088442
171,충남,공주시,복지관,세종충남가톨릭사회복지회,공주시 장애인종합복지관,충남 공주시 의당로 23,041-856-0099,041-856-0098,28,28,127.2547009,36.27431486
172,충남,금산군,복지관,지자체,금산군 장애인복지관,충남 금산군 금산읍 금산로 1559,041-750-2182,,20,0,126.6431639,36.891412
173,충남,논산시,복지관,대전가톨릭사회복지회,논산시사람꽃복지관,충남 논산시 계백로1546번길 38,041-734-1010,041-732-0110,30,30,126.8712133,36.27331545
174,충남,당진시,복지관,당진시복지재단,당진시 장애인종합복지관,충남 당진시 시청1로 38,041-360-3040,041-354-3202,29,29,126.6561758,36.10853405
175,충남,보령시,복지관,사회복지법인 보령학사,서부장애인종합복지관,충남 보령시 주교면 보령북로 404,041-934-7230,041-934-7242,34,38,126.8111257,36.44991083
176,충남,부여군,복지관,사회복지법인 부여성심원,부여군 장애인종합복지관,충남 부여군 규암면 흥수로 816,041-836-2157,041-836-2160,24,30,126.6557301,36.59766797
177,충남,서산시,복지관,(사)한국지체장애인협회 충남협회 서산시지회,서산시 장애인종합복지관,충남 서산시 호수공원13로 9,041-668-4744,041-668-4944,21,27,126.809811,36.76225204
178,충남,서천군,복지관,대전교구천주교회유지재단,서천군 장애인종합복지관,충남 서천군 종천면 충서로302번길 88-8,041-950-1253,041-953-0939,20,24,126.3024503,36.74608029
179,충남,아산시,복지관,한국지체장애인협회,아산시 장애인복지관,충남 아산시 곡교천로27번길 12,041-545-7727,041-545-7757,40,40,127.0926158,35.81176128
180,충남,예산군,복지관,예산군장애인연합회,예산군 장애인종합복지관,충남 예산군 신암면 추사고택로 496,041-330-9000,041-334-6521,27,27,127.1323509,35.79753398
181,충남,천안시,복지관,충청남도시각장애인연합회,시각장애인복지관,충청남도 천안시 동남구 충절로 535-13,041-413-7000,041-413-7099,32,32,126.6774209,35.95979554
182,충남,천안시,복지관,대한성공회유지재단,천안시 장애인종합복지관,충남 천안시 서북구 두정고 2길 51,041-551-0420,041-568-0420,31,31,126.9495592,35.93145201
183,충남,천안시,복지관,대한성공회유지재단,천안시 누리별장애인종합복지관,충남 천안시 동남구 천안대로 359,041-564-7942,041-564-5025,39,39,126.8533991,35.57749892
184,충남,청양군,복지관,사회복지법인 보령학사,서부장애인종합복지관 청양분관,충남 청양군 청양읍 월촌길 38,041-944-1397,041-944-1398,6,5,127.4418891,35.45294554
185,충남,태안군,복지관,한국지체장애인협회,태안군 장애인복지관,충남 태안군 태안읍 군청6길 30,041-674-7412,041-674-7417,21,21,126.8717616,35.80500901
186,충남,홍성군,복지관,(사)한국지체장애인협회 충남협회 홍성군지회,홍성군 장애인종합복지관,충남 홍성군 홍성읍 조양로 33번길 17,041-634-0267,041-634-0268,28,28,127.1654033,35.93447798
187,전북,전주시,복지관,사회복지법인 동암,전북특별자치도장애인복지관,전북특별자치도 전주시 완산구 천잠로 277,063-222-9999,063-224-4131,36,36,127.6723963,36.00555239
188,전북,고창군,복지관,(사)한두레장애인자립생활협회,고창군장애인복지관,전북특별자치도 고창군 고창읍 전봉준로 88-9,063-562-3777,063-562-3778,19,19,127.517299,35.6535102
189,전북,군산시,복지관,전주가톨릭사회복지회,군산장애인종합복지관,전북특별자치도 군산시 칠성안3길 37,063-466-7981,063-466-7983,29,34,126.682363,35.44430503
190,전북,김제시,복지관,김제제일복지재단,김제시장애인종합복지관,전북특별자치도 김제시 갈공길 28,063-542-9500,063-542-9505,40,40,126.7462323,35.71660358
191,전북,남원시,복지관,한기장복지재단법인,남원시장애인종합복지관,전북특별자치도 남원시 닭뫼안길 87,063-635-1544,063-635-1546,27,27,126.7462323,35.71660358
192,전북,무주군,복지관,삼동회,무주장애인종합복지관,전북특별자치도 무주군 무주읍 한풍루로 425,063-322-1252,063-322-1138,20,20,126.3879677,34.80414599
193,전북,부안군,복지관,한기장복지재단,부안장애인종합복지관,전북특별자치도 부안군 부안읍 용암로 134,063-580-7600,063-580-7601,20,23,126.4187903,34.80898484
194,전북,순창군,복지관,사단법인 한국지체장애인협회,순창군장애인복지관,전북특별자치도 순창군 순창읍 교성로 141-8,063-653-9395,063-653-9396,10,10,127.7147608,34.77321201
195,전북,완주군,복지관,나누는사람들,완주군장애인복지관,전북특별자치도 완주군 봉동읍 낙평장기로 22,063-261-7801,063-261-7804,19,19,127.4795843,35.00645899
196,전북,익산시,복지관,사회복지법인중도원,익산시장애인종합복지관,전북특별자치도 익산시 인북로 21,063-837-7300,063-837-7350,33,33,126.6947895,35.00812059
197,전북,장수군,복지관,사단법인 나누는사람들,장수군장애인복지관,전북특별자치도 장수군 장수읍 노하3길16,063-353-8286,063-353-8287,19,16,127.5743154,34.96518846
198,전북,전주시,복지관,중도원,전주장애인종합복지관,전북특별자치도 전주시 완산구 백제대로 20-41,063-229-0062,063-229-0631,23,23,127.0579417,35.3717852
199,전북,정읍시,복지관, 지자체,정읍시장애인복지관,전북특별자치도 정읍시 수성1로 58,063-539-6677,063-532-0600,25,22,127.4617775,35.21607419
200,전북,진안군,복지관,반월복지재단,진안군장애인종합복지관,전북특별자치도 진안군 진안읍 진무로 1189-1,063-432-8871,063-432-8873,19,19,127.2887987,34.61355111
201,전남,강진군,복지관,한국지체장애인협회,강진군장애인종합복지관,전남 강진군 강진읍 탐진로 37-7,061-433-8862,061-432-9596,22,20,127.0865912,34.77417506
202,전남,고흥군,복지관,전라남도장애인단체총연합회,고흥군장애인종합복지관,전남 고흥군 고흥읍 신계학림길 41,061-901-6701,061-901-6702,19,19,126.7614097,34.63823468
203,전남,광양시,복지관,삼동회,광양시 광양장애인복지관,전남 광양시 광양읍 대림오성로 117,061-761-4438,061-983-0111,31,31,126.6075924,34.56318263
204,전남,광양시,복지관,삼동회,광양시 중마장애인복지관,전남 광양시 중마로 525,061-795-0420,061-795-0422,40,40,126.7038294,34.794693
205,전남,구례군,복지관,재단법인 대한예수교장로회순천노회유지재단,구례군장애인복지관,전남 구례군 구례읍 동편제길 30,061-783-7605,061-783-7607,20,20,126.4660474,34.99732669
206,전남,나주시,복지관,사단법인 선인사회복지회,전라남도장애인종합복지관,전라남도 나주시 내영산 1길 67,061-332-4105,062-333-9966,29,26,126.7765862,35.3022522
207,전남,담양군,복지관,개인,혜림종합복지관,전라남도 담양군 금성면 새덕굴길317,061-380-4548,061-380-4611,36,36,126.7439812,34.31385256
208,전남,목포시,복지관,한국지체장애인협회,목포시장애인종합복지관,전남 목포시 하당로205번길 12,061-285-2811,061-285-2815,26,26,126.2586593,34.47157939
209,전남,목포시,복지관,성골롬반복지재단,명도복지관,전남 목포시 산정로 199번길 25,061-279-4879,061-279-4880,25,25,129.3675115,36.00971147
210,전남,무안군,복지관,대송의료재단,무안군장애인종합복지관,전남 무안군 무안읍 공항로 148-18,061-454-4560,061-452-9838,20,20,129.4096634,36.07878865
211,전남,보성군,복지관,전남밀알복지재단,보성군장애인복지관,전라남도 보성군 보성읍 현충로 186,061-852-3091,061-852-3093,20,18,129.3582078,36.00599605
212,전남,순천시,복지관,(사)한국YWCA연합회후원회순천YWCA,순천시장애인종합복지관,전남 순천시 청소년수련원길 2,061-755-4450,061-755-6639,30,30,129.4084979,35.97170921
213,전남,여수시,복지관,은현,여수시장애인종합복지관,전남 여수시 만성로 173번지 가동,061-652-5005,061-652-5432,32,25,129.2184253,35.88040307
214,전남,영암군,복지관,영암군,영암군장애인종합복지관,전라남도 영암군 오리정길 37,061-470-6741,061-470-2546,15,15,128.1414386,36.13273369
215,전남,완도군,복지관,(사)전라남도장애인단체총연합회,완도군장애인복지관,전라남도 완도군 노두목길 30,061-555-5115,061-555-5335,14,14,128.6863563,36.65682569
216,전남,장성군,복지관,사)한국지체장애인협회,장성군장애인종합복지관,전남 장성군 장성읍 강변안길 90,061-393-6336,061-393-6543,22,21,128.6997687,36.55941721
217,전남,진도군,복지관,임마누엘복지재단,진도군장애인종합복지관,전라남도 진도군 진도읍 남산로 50-4,061-543-8005,061-543-0328,24,23,128.3305285,36.10601408
218,전남,해남군,복지관,대한불교조계종사회복지재단,해남군장애인종합복지관,전남 해남군 해남읍 신안길 2-20,061-536-6311,061-536-6332,23,22,128.6233634,36.81879231
219,경북,경산시,복지관,사회복지법인 기아대책,경산시장애인종합복지관,경산시 경청로222길 79,053-719-2340,053-719-2339,26,26,128.941273,35.97114342
220,경북,경주시,복지관,사회복지법인대한불교조계종불국사복지재단,경주시장애인종합복지관,경북 경주시 유림로 5번길 99-11,054-776-7524,054-776-3376,27,23,128.941273,35.97114342
221,경북,구미시,복지관,한국교통장애인협회,구미시장애인종합복지관,경북 구미시 공원로 340,054-457-3172,054-457-3177,42,42,128.1549547,36.44243049
222,경북,문경시,복지관,한국지체장애인협회,문경시장애인종합복지관,경북 문경시 시청2길 34,054-556-0042,054-556-0043,29,29,128.1870182,36.58735745
223,경북,봉화군,복지관,애명,경상북도장애인종합복지관봉화분관,봉화군 봉화읍 내성천2길 93,054-674-3311,054-674-3312,4,4,128.7478058,35.80178997
224,경북,상주시,복지관,천주교안동교구사회복지회,상주시장애인종합복지관,경상북도 상주시 만산8길 11,054-534-6933,054-534-6936,32,32,128.6801543,36.35949398
225,경북,안동시,복지관,애명,경상북도장애인종합복지관,안동시 북후면 광평2길 106-25,054-858-7283,054-858-7287,31,28,129.1186877,36.66192568
226,경북,안동시,복지관,대한불교조계종,안동시장애인종합복지관,안동시 옥동1길 21(옥동),054-855-7801,054-855-7805,23,23,128.7563776,35.63339376
227,경북,영덕군,복지관,애명,경상북도장애인종합복지관영덕분관,"경상북도 영덕군 영덕읍 경동로 8367, 1층",054-734-7585,054-734-7586,4,4,128.4191918,35.99084649
228,경북,영양군,복지관,사회복지법인 애명,경상북도장애인종합복지관영양분관,경상북도 영양군 영양읍 동서대로90,054-683-9501,054-683-9503,4,4,128.7373256,36.89365678
229,경북,영주시,복지관,대한불교조계종사회복지재단,영주시장애인종합복지관,경상북도 영주시 원당로52번길 25,054-633-6415,054-633-6419,26,26,129.3955595,36.99233207
230,경북,영천시,복지관,한국지체장애인협회,영천시장애인종합복지관,경북 영천시 보목2길 10,054-333-3535,054-333-3536,22,22,130.9088781,37.49581921
231,경북,울진군,복지관,고우이복지재단,울진군장애인종합복지관,경북 울진군 울진읍 울진북로 496-12,054-781-8157,054-781-8154,20,21,128.558692,35.19439726
232,경북,의성군,복지관,사회복지법인 애명,경북장애인종합복지관 의성분관,"경북 의성군 의성읍 잔보들길 130, 2층",054-833-1442,054-833-1447,4,4,128.6789422,35.25043527
233,경북,청도군,복지관,휴먼복지회,청도군장애인복지관,경북 청도군 청도읍 새마을로 1102-12,054-373-0058,054-373-0059,25,25,128.6789422,35.25043527
234,경북,칠곡군,복지관,사)한국지체장애인협회,칠곡군장애인종합복지관,경상북도 칠곡군 왜관읍 관문로1길 24-5,054-971-4646,054-971-4647,23,23,128.6789422,35.25043527
235,경북,포항시,복지관,대구가톨릭사회복지회,포항시장애인 종합복지관,경북 포항시 남구 형산강북로 389,054-282-4009,054-603-0355,22,21,128.7101666,35.13143093
236,경북,포항시,복지관,사회복지법인 열린가람,포항시북부장애인 종합복지관,경북 포항시 북구 새천년대로 1486(여남동),054-231-1117,054-231-1180,28,25,128.1210115,35.18100032
237,경북,포항시,복지관,사단법인 경북시각장애인연합회,경상북도 시각장애인복지관,경북 포항시 남구 섬안로 175(대도동),054-253-5900,054-254-5900,22,22,128.4199928,34.8729955
238,경북,포항시,복지관,경북행복재단,경상북도여성 장애인복지관,경북 포항시 남구 오천읍 냉천로 252번길5-10,054-290-9200,054-291-5613,20,20,128.0604844,34.99686104
239,경남,거제시,복지관,(재)거제시희망복지재단,거제시장애인복지관,거제시 양정1길 45 (양정동),055-636-4500,055-636-4501,22,20,128.8761079,35.26342626
240,경남,거창군,복지관,대한불교조계종 사회복지재단,거창군삶의쉼터장애인복지관,경상남도 거창군 거창읍 거안로 1266-41,055-949-0700,055-945-2218,19,22,128.7637299,35.48008918
241,경남,고성군,복지관,천주교마산교구사회복지회,고성군장애인복지센터 ,경상남도 고성군 고성읍 송학고분로 195,055-674-8266,055-674-8267,8,8,128.6462904,34.86953057
242,경남,김해시,복지관,재단법인 김해시복지재단,김해시장애인종합복지관,경상남도 김해시 삼계로140,055-310-8430,055-314-7116,24,22,129.0403128,35.34582549
243,경남,김해시,복지관,재단법인 김해시복지재단,김해시서부장애인종합복지관,경상남도 김해시 대청로176번길 30,055-310-3350,055-314-1999,20,19,128.4950455,35.53243968
244,경남,남해군,복지관,전영,남해장애인종합복지관,경남 남해군 이동면 남해대로2394-7,055-862-0012,055-863-0056,22,22,128.3278393,34.97501144
245,경남,밀양시,복지관,사회복지법인 인애복지재단,밀양시장애인복지관,경남 밀양시 가곡14길 22,055-350-1700,055-350-1701,25,26,127.9334291,34.8165268
246,경남,사천시,복지관,(사)경상남도장애인부모연대,사천시장애인종합복지관,경상남도 사천시 용현면 진삼로 447,055-835-2571,055-835-4216,30,31,127.8819255,35.41476323
247,경남,산청군,복지관,사회복지법인 두류복지재단,산엔청복지관,"본관)경상남도 산청군 산청읍 중앙로 67, 분관)경상남도 산청군 단성면 사직단로440번길 7",055-974-4001,055-974-4003,33,33,127.7297797,35.50877049
248,경남,양산시,복지관,(재)양산시복지재단,양산시장애인복지관,양산시 북안남5길 15,055-367-9655,055-388-3399,23,28,127.888582,35.68514912
249,경남,양산시,복지관,(재)양산시복지재단,시나브로복지관,양산시 덕계7길 24,055-785-0726,055-785-0727,22,31,128.1569121,35.56841242
250,경남,진주시,복지관,전영,진주시장애인종합복지관,경상남도 진주시 동진로273(상대동),055-762-0179,055-762-0167,24,24,126.5530069,33.45254919
251,경남,창녕군,복지관,경상남도지체장애인협회창녕군지회,창녕군장애인종합복지관,경남 창녕군 창녕읍 탐하로 244,055-533-1840,055-533-1844,27,30,126.5251193,33.50141092
252,경남,창원시,복지관,사회복지법인범숙,창원시장애인종합복지관,경남 창원시 의창구 봉곡로 97번길 87,055-237-6485,055-237-6489,21,21,126.5845893,33.2869107
253,경남,창원시,복지관,경상남도사회서비스원,경상남도장애인종합복지관,경남 창원시 의창구 봉곡로97번길 85,055-237-2223,055-237-2225,29,29,126.5812624,33.47100632
254,경남,창원시,복지관,천주교마산교구사회복지회,마산장애인복지관,창원시 마산합포구 반월서7길59,055-247-5194,055-247-7004,20,21,126.4256496,33.48488857
255,경남,창원시,,마산교구천주교회유지재단,진해장애인복지관,경남 창원시 진해구 진해대로 1101,055-540-0400,070-7966-0460,20,20,,
256,경남,통영시,,통영시사회복지협의회,통영시장애인종합복지관,경상남도 통영시 용남면 기호바깥길 7-89,055-650-9900,055-649-9963,26,26,,
257,경남,하동군,,지자체,하동군노인장애인종합복지관,경상남도 하동군 하동읍 중앙로 89,055-880-9900,055-880-9949,19,19,,
258,경남,함안군,,사)경상남도지체장애인연합회 함안군지회,함안군장애인재활센터,경남 함안군 가야읍 중앙남길70  ,055-584-3052,055-584-3053,3,3,,
259,경남,함양군,,사회복지법인함양군복지회,함양군장애인복지센터,경남 함양군 함양읍 거면강변길 25,055-963-8997,055-963-8961,5,5,,
260,경남,합천군,,천주교마산교구사회복지회,합천군장애인복지센터,"경상남도 합천군 합천읍 남정길 79, 3층",055-931-1992,055-931-1993,4,4,,
261,제주,서귀포시,,춘강,서귀포시장애인종합복지관,제주특별자치도 서귀포시 인정오름 24,064-735-2600,064-735-2601,38,46,,
262,제주,제주시,,사회복지법인 농애원,제주도농아복지관,제주특별자치도 제주시 우령서로16길 19(외도일동),064-711-9094,064-711-9097,28,33,,
263,제주,제주시,,제주특별자치도사회서비스원,우리복지관,제주시 산천단남길 40,064-758-7942,064-758-7943,26,29,,
264,제주,제주시,,한국지체장애인협회,탐라장애인종합복지관,제주시 광양4길 32,064-710-9990,064-710-9999,64,64,,
265,제주,제주시,,춘강,제주특별자치도장애인종합복지관,제주시 516로3120,064-702-0295,064-702-0294,42,52,,
266,제주,제주시,,사회복지법인 삼다,제주시각장애인복지관,제주특별자치도 제주시 아봉로 433,064-710-1200,064-710-1240,29,31,,
